in:Different design for third layer,in:Different design for 1st layer,in:Different design for 3rd layer,out:SURFACE AREA,out:Percentage of Members Failing,out:Strain Energy (stiffness),out:Deflection,out:Resulting force of gravity,img
0,0,0,31162.328989,0,2.244148,8.869967,146831.416021,Differentdesignforthirdlayer0_Differentdesignfor1stlayer0_Differentdesignfor3rdlayer0.png
1,0,0,22694.881844,0,1.876864,2.82163,129802.987099,Differentdesignforthirdlayer1_Differentdesignfor1stlayer0_Differentdesignfor3rdlayer0.png
2,0,0,23703.54326,0,1.716523,3.307034,129802.987099,Differentdesignforthirdlayer2_Differentdesignfor1stlayer0_Differentdesignfor3rdlayer0.png
3,0,0,21482.718565,0,1.829337,4.150166,120813.054754,Differentdesignforthirdlayer3_Differentdesignfor1stlayer0_Differentdesignfor3rdlayer0.png
4,0,0,24915.70654,0,2.132793,3.138741,138792.919444,Differentdesignforthirdlayer4_Differentdesignfor1stlayer0_Differentdesignfor3rdlayer0.png
5,0,0,24915.70654,0,2.088532,3.572139,138792.919444,Differentdesignforthirdlayer5_Differentdesignfor1stlayer0_Differentdesignfor3rdlayer0.png
0,1,0,34878.449993,0,2.245671,8.869967,171035.757621,Differentdesignforthirdlayer0_Differentdesignfor1stlayer1_Differentdesignfor3rdlayer0.png
1,1,0,26411.002848,0,1.968121,2.82163,164429.474579,Differentdesignforthirdlayer1_Differentdesignfor1stlayer1_Differentdesignfor3rdlayer0.png
2,1,0,27419.664264,0,1.72761,3.307034,164429.474579,Differentdesignforthirdlayer2_Differentdesignfor1stlayer1_Differentdesignfor3rdlayer0.png
3,1,0,25198.839568,0,2.091436,4.150166,155439.542234,Differentdesignforthirdlayer3_Differentdesignfor1stlayer1_Differentdesignfor3rdlayer0.png
4,1,0,28631.827543,0,2.157409,3.138741,173419.406924,Differentdesignforthirdlayer4_Differentdesignfor1stlayer1_Differentdesignfor3rdlayer0.png
5,1,0,28631.827543,0,2.091018,3.572139,173419.406924,Differentdesignforthirdlayer5_Differentdesignfor1stlayer1_Differentdesignfor3rdlayer0.png
0,2,0,30870.348053,0,2.24491,8.869967,158933.586821,Differentdesignforthirdlayer0_Differentdesignfor1stlayer2_Differentdesignfor3rdlayer0.png
1,2,0,22402.900908,0,1.922492,2.82163,147116.230839,Differentdesignforthirdlayer1_Differentdesignfor1stlayer2_Differentdesignfor3rdlayer0.png
2,2,0,23411.562324,0,1.722067,3.307034,147116.230839,Differentdesignforthirdlayer2_Differentdesignfor1stlayer2_Differentdesignfor3rdlayer0.png
3,2,0,21190.737629,0,1.960387,4.150166,138126.298494,Differentdesignforthirdlayer3_Differentdesignfor1stlayer2_Differentdesignfor3rdlayer0.png
4,2,0,24623.725604,0,2.145101,3.138741,156106.163184,Differentdesignforthirdlayer4_Differentdesignfor1stlayer2_Differentdesignfor3rdlayer0.png
5,2,0,24623.725604,0,2.089775,3.572139,156106.163184,Differentdesignforthirdlayer5_Differentdesignfor1stlayer2_Differentdesignfor3rdlayer0.png
0,3,0,42838.912057,0,4.224192,8.869967,160986.777116,Differentdesignforthirdlayer0_Differentdesignfor1stlayer3_Differentdesignfor3rdlayer0.png
1,3,0,34371.464913,0,3.901775,2.82163,149169.421134,Differentdesignforthirdlayer1_Differentdesignfor1stlayer3_Differentdesignfor3rdlayer0.png
2,3,0,35380.126328,0,3.701349,3.307034,149169.421134,Differentdesignforthirdlayer2_Differentdesignfor1stlayer3_Differentdesignfor3rdlayer0.png
3,3,0,33159.301633,0,3.939669,4.150166,140179.488789,Differentdesignforthirdlayer3_Differentdesignfor1stlayer3_Differentdesignfor3rdlayer0.png
4,3,0,36592.289608,0,4.124384,3.138741,158159.353479,Differentdesignforthirdlayer4_Differentdesignfor1stlayer3_Differentdesignfor3rdlayer0.png
5,3,0,36592.289608,0,4.069058,3.572139,158159.353479,Differentdesignforthirdlayer5_Differentdesignfor1stlayer3_Differentdesignfor3rdlayer0.png
0,0,1,42004.112017,0,3.978909,2.697223,134913.58463,Differentdesignforthirdlayer0_Differentdesignfor1stlayer0_Differentdesignfor3rdlayer1.png
1,0,1,33536.664873,0,2.173713,11.785657,156848.769205,Differentdesignforthirdlayer1_Differentdesignfor1stlayer0_Differentdesignfor3rdlayer1.png
2,0,1,34545.326288,0,1.95144,13.849421,156848.769205,Differentdesignforthirdlayer2_Differentdesignfor1stlayer0_Differentdesignfor3rdlayer1.png
3,0,1,32324.501593,0,2.223498,17.439741,149208.722645,Differentdesignforthirdlayer3_Differentdesignfor1stlayer0_Differentdesignfor3rdlayer1.png
4,0,1,35757.489568,0,2.374979,13.13359,165838.70155,Differentdesignforthirdlayer4_Differentdesignfor1stlayer0_Differentdesignfor3rdlayer1.png
5,0,1,35757.489568,0,2.321495,14.977631,165838.70155,Differentdesignforthirdlayer5_Differentdesignfor1stlayer0_Differentdesignfor3rdlayer1.png
0,1,1,45720.233021,0,3.978909,2.531442,134913.58463,Differentdesignforthirdlayer0_Differentdesignfor1stlayer1_Differentdesignfor3rdlayer1.png
1,1,1,37252.785877,0,2.382449,11.785657,181053.110806,Differentdesignforthirdlayer1_Differentdesignfor1stlayer1_Differentdesignfor3rdlayer1.png
2,1,1,38261.447292,0,1.970461,13.849421,181053.110806,Differentdesignforthirdlayer2_Differentdesignfor1stlayer1_Differentdesignfor3rdlayer1.png
3,1,1,36040.622597,0,2.879335,17.439741,173413.064245,Differentdesignforthirdlayer3_Differentdesignfor1stlayer1_Differentdesignfor3rdlayer1.png
4,1,1,39473.610572,0,2.422927,13.13359,190043.043151,Differentdesignforthirdlayer4_Differentdesignfor1stlayer1_Differentdesignfor3rdlayer1.png
5,1,1,39473.610572,0,2.324718,14.977631,190043.043151,Differentdesignforthirdlayer5_Differentdesignfor1stlayer1_Differentdesignfor3rdlayer1.png
0,2,1,41712.131081,0,3.978419,2.531442,134913.58463,Differentdesignforthirdlayer0_Differentdesignfor1stlayer2_Differentdesignfor3rdlayer1.png
1,2,1,33244.683937,0,2.136869,11.785657,168950.940005,Differentdesignforthirdlayer1_Differentdesignfor1stlayer2_Differentdesignfor3rdlayer1.png
2,2,1,34253.345352,0,1.947154,13.849421,168950.940005,Differentdesignforthirdlayer2_Differentdesignfor1stlayer2_Differentdesignfor3rdlayer1.png
3,2,1,32032.520657,0,2.115989,17.439741,161310.893445,Differentdesignforthirdlayer3_Differentdesignfor1stlayer2_Differentdesignfor3rdlayer1.png
4,2,1,35465.508632,0,2.365291,13.13359,177940.87235,Differentdesignforthirdlayer4_Differentdesignfor1stlayer2_Differentdesignfor3rdlayer1.png
5,2,1,35465.508632,0,2.320565,14.977631,177940.87235,Differentdesignforthirdlayer5_Differentdesignfor1stlayer2_Differentdesignfor3rdlayer1.png
0,3,1,53680.695086,0,5.957701,2.531442,136966.774925,Differentdesignforthirdlayer0_Differentdesignfor1stlayer3_Differentdesignfor3rdlayer1.png
1,3,1,45213.247941,0,4.116152,11.785657,171004.1303,Differentdesignforthirdlayer1_Differentdesignfor1stlayer3_Differentdesignfor3rdlayer1.png
2,3,1,46221.909357,0,3.926437,13.849421,171004.1303,Differentdesignforthirdlayer2_Differentdesignfor1stlayer3_Differentdesignfor3rdlayer1.png
3,3,1,44001.084662,0,4.095271,17.439741,163364.08374,Differentdesignforthirdlayer3_Differentdesignfor1stlayer3_Differentdesignfor3rdlayer1.png
4,3,1,47434.072636,0,4.344574,13.13359,179994.062645,Differentdesignforthirdlayer4_Differentdesignfor1stlayer3_Differentdesignfor3rdlayer1.png
5,3,1,47434.072636,0,4.301113,14.977631,179994.062645,Differentdesignforthirdlayer5_Differentdesignfor1stlayer3_Differentdesignfor3rdlayer1.png
0,0,2,43611.334351,0,4.790849,2.697223,148427.087685,Differentdesignforthirdlayer0_Differentdesignfor1stlayer0_Differentdesignfor3rdlayer2.png
1,0,2,35143.887207,0,1.928133,11.785657,174162.012945,Differentdesignforthirdlayer1_Differentdesignfor1stlayer0_Differentdesignfor3rdlayer2.png
2,0,2,36152.548622,0,1.928133,13.849421,174162.012945,Differentdesignforthirdlayer2_Differentdesignfor1stlayer0_Differentdesignfor3rdlayer2.png
3,0,2,33931.723927,0,1.460152,17.439741,166521.966385,Differentdesignforthirdlayer3_Differentdesignfor1stlayer0_Differentdesignfor3rdlayer2.png
4,0,2,37364.711902,0,2.396114,13.13359,181802.059506,Differentdesignforthirdlayer4_Differentdesignfor1stlayer0_Differentdesignfor3rdlayer2.png
5,0,2,37364.711902,0,2.396114,14.977631,181802.059506,Differentdesignforthirdlayer5_Differentdesignfor1stlayer0_Differentdesignfor3rdlayer2.png
0,1,2,47327.455355,0,4.791829,2.531442,148427.087685,Differentdesignforthirdlayer0_Differentdesignfor1stlayer1_Differentdesignfor3rdlayer2.png
1,1,2,38860.008211,0,2.419293,11.785657,198366.354546,Differentdesignforthirdlayer1_Differentdesignfor1stlayer1_Differentdesignfor3rdlayer2.png
2,1,2,39868.669626,0,1.974747,13.849421,198366.354546,Differentdesignforthirdlayer2_Differentdesignfor1stlayer1_Differentdesignfor3rdlayer2.png
3,1,2,37647.844931,0,3.010385,17.439741,190726.307985,Differentdesignforthirdlayer3_Differentdesignfor1stlayer1_Differentdesignfor3rdlayer2.png
4,1,2,41080.832906,0,2.511386,13.13359,206006.401106,Differentdesignforthirdlayer4_Differentdesignfor1stlayer1_Differentdesignfor3rdlayer2.png
5,1,2,41080.832906,0,2.404419,14.977631,206006.401106,Differentdesignforthirdlayer5_Differentdesignfor1stlayer1_Differentdesignfor3rdlayer2.png
0,2,2,43319.353415,0,4.791829,2.531442,148427.087685,Differentdesignforthirdlayer0_Differentdesignfor1stlayer2_Differentdesignfor3rdlayer2.png
1,2,2,34851.906271,0,2.314925,11.785657,186264.183746,Differentdesignforthirdlayer1_Differentdesignfor1stlayer2_Differentdesignfor3rdlayer2.png
2,2,2,35860.567686,0,1.965237,13.849421,186264.183746,Differentdesignforthirdlayer2_Differentdesignfor1stlayer2_Differentdesignfor3rdlayer2.png
3,2,2,33639.742991,0,2.682466,17.439741,178624.137185,Differentdesignforthirdlayer3_Differentdesignfor1stlayer2_Differentdesignfor3rdlayer2.png
4,2,2,37072.730966,0,2.487412,13.13359,193904.230306,Differentdesignforthirdlayer4_Differentdesignfor1stlayer2_Differentdesignfor3rdlayer2.png
5,2,2,37072.730966,0,2.402808,14.977631,193904.230306,Differentdesignforthirdlayer5_Differentdesignfor1stlayer2_Differentdesignfor3rdlayer2.png
0,3,2,55287.91742,0,6.771111,2.531442,150480.277979,Differentdesignforthirdlayer0_Differentdesignfor1stlayer3_Differentdesignfor3rdlayer2.png
1,3,2,46820.470275,0,4.294207,11.785657,188317.37404,Differentdesignforthirdlayer1_Differentdesignfor1stlayer3_Differentdesignfor3rdlayer2.png
2,3,2,47829.131691,0,3.944519,13.849421,188317.37404,Differentdesignforthirdlayer2_Differentdesignfor1stlayer3_Differentdesignfor3rdlayer2.png
3,3,2,45608.306996,0,4.661749,17.439741,180677.32748,Differentdesignforthirdlayer3_Differentdesignfor1stlayer3_Differentdesignfor3rdlayer2.png
4,3,2,49041.294971,0,4.466695,13.13359,195957.420601,Differentdesignforthirdlayer4_Differentdesignfor1stlayer3_Differentdesignfor3rdlayer2.png
5,3,2,49041.294971,0,4.38209,14.977631,195957.420601,Differentdesignforthirdlayer5_Differentdesignfor1stlayer3_Differentdesignfor3rdlayer2.png
